id,name,post_code,city,street,us_code
us_1602,Urząd Skarbowy w Brzegu,49-305,Brzeg,Składowa 2,1602
us_1603,Urząd Skarbowy w Głubczycach,48-100,Głubczyce,Fabryczna 2,1603
us_1604,Urząd Skarbowy w Kędzierzynie-Koźlu,47-224,Kędzierzyn-Koźle,Piotra Skargi 19,1604
us_1605,Urząd Skarbowy w Kluczborku,46-200,Kluczbork,Sienkiewicza 22 A,1605
us_1606,Urząd Skarbowy w Namysłowie,46-100,Namysłów,Plac Wolności 1,1606
us_1607,Urząd Skarbowy w Nysie ,48-300,Nysa,Bolesława Krzywoustego 23,1607
us_1608,Urząd Skarbowy w Oleśnie,46-300,Olesno,Jana Pieloka 21,1608
us_1609,Pierwszy Urząd Skarbowy w Opolu,45-331,Opole,Tadeusza Rejtana 3B,1609
us_1610,Drugi Urząd Skarbowy w Opolu,45-358,Opole,Cementowa 6,1610
us_1611,Urząd Skarbowy w Prudniku,48-200,Prudnik,Kopernika 1A,1611
us_1612,Urząd Skarbowy w Strzelcach Opolskich,47-100,Strzelce Opolskie,Opolska 13,1612
us_2002,Urząd Skarbowy w Augustowie,16-300,Augustów,Żabia 7,2002
us_2003,Pierwszy Urząd Skarbowy w Białymstoku,15-219 ,Białystok,Świętojańska 13,2003
us_2004,Drugi Urząd Skarbowy w Białymstoku,15-502 ,Białystok,Plażowa 17,2004
us_2005,Urząd Skarbowy w Bielsku Podlaskim,17-100,Bielsk Podlaski,Adama Mickiewicza 33,2005
us_2006,Urząd Skarbowy w Grajewie,19-200,Grajewo,Elewatorska 8,2006
us_2007,Urząd Skarbowy w Kolnie,18-500,Kolno,Wojska Polskiego 20,2007
us_2008,Urząd Skarbowy w Łomży,18-400,Łomża,Polowa 47,2008
us_2009,Urząd Skarbowy w Mońkach,19-100,Mońki,Ełcka 41a,2009
us_2010,Urząd Skarbowy w Siemiatyczach,17-300,Siemiatycze,Pałacowa 18,2010
us_2011,Urząd Skarbowy w Sokółce,16-100,Sokółka,Białostocka 47,2011
us_2012,Urząd Skarbowy w Suwałkach,16-400 ,Suwałki,1 Maja 2A,2012
us_2013,Urząd Skarbowy w Wysokiem Mazowieckiem,18-200,Wysokie Mazowieckie,Ludowa 21,2013
us_2014,Urząd Skarbowy w Zambrowie,18-300,Zambrów,Jantarowa 16,2014
us_2212,Urząd Skarbowy w Kwidzynie,82-500,Kwidzyn,3 Maja 6,2212
us_2213,Urząd Skarbowy w Lęborku,84-300,Lębork,Słupska 23,2213
us_2402,Urząd Skarbowy w Będzinie,42-500,Będzin,I Armii Wojska Polskiego 1,2402
us_2403,Pierwszy Urząd Skarbowy w Bielsku-Białej,43-300,Bielsko-Biała,Teodora Sixta 17,2403
us_2404,Drugi Urząd Skarbowy w Bielsku-Białej,43-300,Bielsko-Biała,Gen. Stanisława Maczka 73,2404
us_2405,Urząd Skarbowy w Bytomiu,41-902,Bytom,Wrocławska 92,2405
us_2406,Urząd Skarbowy w Chorzowie,41-506,Chorzów,Armii Krajowej 5,2406
us_2407,Urząd Skarbowy w Cieszynie,43-400,Cieszyn,Ignacego Kraszewskiego 4,2407
us_2408,Urząd Skarbowy w Czechowicach-Dziedzicach,43-502,Czechowice-Dziedzice,Nad Białką 1a,2408
us_2409,Pierwszy Urząd Skarbowy w Częstochowie,42-200,Częstochowa,Filomatów 18/20,2409
us_2410,Drugi Urząd Skarbowy w Częstochowie,42-200,Częstochowa,Tkacka 3,2410
us_2411,Urząd Skarbowy w Dąbrowie Górniczej,41-300,Dąbrowa Górnicza,Zygmunta Krasińskiego 33a,2411
us_2412,Pierwszy Urząd Skarbowy w Gliwicach,44-100,Gliwice,Góry Chełmskiej 15,2412
us_2413,Drugi Urząd Skarbowy w Gliwicach,44-100,Gliwice,Młodego Hutnika 2,2413
us_2414,Urząd Skarbowy w Jastrzębiu-Zdroju,44-335,Jastrzębie-Zdrój,11 Listopada 13,2414
us_2415,Urząd Skarbowy w Jaworznie,43-600,Jaworzno,Grunwaldzka 274,2415
us_2416,Pierwszy Urząd Skarbowy w Katowicach,40-063,Katowice,Żwirki i Wigury 17,2416
