id,chart_template_id/id,code,reconcile,user_type_id/id,name
l10n_pl_openglobe.chart01010000,pl_chart_template,01-000-000,False,account.data_account_type_fixed_assets,Środki trwałe
l10n_pl_openglobe.chart02010000,pl_chart_template,02-000-000,False,account.data_account_type_non_current_assets,Wartości niematerialne i prawne
l10n_pl_openglobe.chart07010100,pl_chart_template,07-000-000,False,account.data_account_type_depreciation,Odpisy umorzeniowe środków trwałych
l10n_pl_openglobe.chart07020100,pl_chart_template,07-050-000,False,account.data_account_type_depreciation,Odpisy umorzeniowe wartości niematerialnych i prawnych
l10n_pl_openglobe.chart10010000,pl_chart_template,10-010-000,False,account.data_account_type_liquidity,Kasa krajowych środków pieniężnych
l10n_pl_openglobe.chart11090000,pl_chart_template,11-090-000,True,account.data_account_type_liquidity,Rachunki i kredyty bankowe - Środki pieniężne w drodze
l10n_pl_openglobe.chart13090000,pl_chart_template,13-010-000,False,account.data_account_type_liquidity,Bieżący rachunek bankowy
l10n_pl_openglobe.chart15010100,pl_chart_template,13-050-000,False,account.data_account_type_liquidity,"Kredyty, pożyczki, dotacje"
l10n_pl_openglobe.chart16000000,pl_chart_template,14-050-000,False,account.data_account_type_liquidity,Środki pieniężne w drodze
l10n_pl_openglobe.chart20000000,pl_chart_template,20-000-000,True,account.data_account_type_receivable,Rozrachunki z odbiorcami
l10n_pl_openglobe.chart21000000,pl_chart_template,20-010-000,True,account.data_account_type_payable,Rozrachunki z dostawcami
l10n_pl_openglobe.chart22040000,pl_chart_template,20-020-000,True,account.data_account_type_receivable,Rozrachunki z odbiorcami zagranicznymi
l10n_pl_openglobe.chart22040100,pl_chart_template,20-030-000,True,account.data_account_type_payable,Rozrachunki z dostawcami zagranicznymi
l10n_pl_openglobe.chart18000000,pl_chart_template,22-000-000,False,account.data_account_type_current_assets,Rozrachunki publicznoprawne
l10n_pl_openglobe.chart22010000,pl_chart_template,22-010-000,False,account.data_account_type_current_assets,Rozliczenie podatku VAT
l10n_pl_openglobe.chart22020100,pl_chart_template,22-020-100,False,account.data_account_type_current_assets,Rozrachunki publicznoprawne - VAT naliczony i jego rozliczenie - Rozliczenie naliczonego VAT 22%
l10n_pl_openglobe.chart22020200,pl_chart_template,22-020-200,False,account.data_account_type_current_assets,Rozrachunki publicznoprawne - VAT naliczony i jego rozliczenie - Rozliczenie naliczonego VAT 7%
l10n_pl_openglobe.chart22020300,pl_chart_template,22-020-300,False,account.data_account_type_current_assets,Rozrachunki publicznoprawne - VAT naliczony i jego rozliczenie - Rozliczenie naliczonego VAT 3%
l10n_pl_openglobe.chart22020400,pl_chart_template,22-020-400,False,account.data_account_type_current_assets,Rozrachunki publicznoprawne - VAT naliczony i jego rozliczenie - Rozliczenie naliczonego VAT 23%
l10n_pl_openglobe.chart22020500,pl_chart_template,22-020-500,False,account.data_account_type_current_assets,Rozrachunki publicznoprawne - VAT naliczony i jego rozliczenie - Rozliczenie naliczonego VAT 8%
l10n_pl_openglobe.chart22020600,pl_chart_template,22-020-600,False,account.data_account_type_current_assets,Rozrachunki publicznoprawne - VAT naliczony i jego rozliczenie - Rozliczenie naliczonego VAT 5%
l10n_pl_openglobe.chart22030100,pl_chart_template,22-050-100,False,account.data_account_type_current_assets,Rozrachunki publicznoprawne - VAT należny i jego rozliczenie - Rozliczenie należnego VAT 22%
l10n_pl_openglobe.chart22030200,pl_chart_template,22-050-200,False,account.data_account_type_current_assets,Rozrachunki publicznoprawne - VAT należny i jego rozliczenie - Rozliczenie należnego VAT 7%
l10n_pl_openglobe.chart22030300,pl_chart_template,22-050-300,False,account.data_account_type_current_assets,Rozrachunki publicznoprawne - VAT należny i jego rozliczenie - Rozliczenie należnego VAT 3%
l10n_pl_openglobe.chart22030400,pl_chart_template,22-050-400,False,account.data_account_type_current_assets,Rozrachunki publicznoprawne - VAT należny i jego rozliczenie - Rozliczenie należnego VAT 23%
l10n_pl_openglobe.chart22030500,pl_chart_template,22-050-500,False,account.data_account_type_current_assets,Rozrachunki publicznoprawne - VAT należny i jego rozliczenie - Rozliczenie należnego VAT 8%
l10n_pl_openglobe.chart22030600,pl_chart_template,22-050-600,False,account.data_account_type_current_assets,Rozrachunki publicznoprawne - VAT należny i jego rozliczenie - Rozliczenie należnego VAT 5%
l10n_pl_openglobe.chart23010000,pl_chart_template,23-010-000,False,account.data_account_type_current_assets,Rozrachunki z tytułu wynagrodzeń
l10n_pl_openglobe.chart23020000,pl_chart_template,23-040-000,False,account.data_account_type_current_assets,Pozostałe rozrachunki z pracownikami
l10n_pl_openglobe.chart24010100,pl_chart_template,24-000-000,False,account.data_account_type_current_assets,Rozrachunki z udziałowcami
